slot,date,leg,reference_session,expected_setup,expected_regime,er_040_candidate,midpoint_side_candidate,er_regime_match,midpoint_regime_match,expected_direction,legacy_csv_setup,legacy_csv_direction,bias_status,fill_status,outcome_used_for_classification
01,2022-10-03,A->L,ASIAN_REFERENCE,SWEEP,RANGE,RANGE,RANGE,True,True,SHORT,SWEEP,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
02,2022-10-03,L->NY,LONDON_REFERENCE,TREND,TREND,RANGE,TREND,False,True,SHORT,TREND,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
03,2022-10-04,A->L,ASIAN_REFERENCE,RANGE,RANGE,RANGE,TREND,True,False,LONG,TREND,LONG,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
04,2022-10-04,L->NY,LONDON_REFERENCE,TREND,TREND,RANGE,TREND,False,True,LONG,TREND,LONG,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
05,2022-10-05,A->L,ASIAN_REFERENCE,TREND,TREND,RANGE,RANGE,False,False,LONG,SWEEP,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
06,2022-10-05,L->NY,LONDON_REFERENCE,TREND,TREND,TREND,TREND,True,True,SHORT,TREND,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
07,2022-10-06,A->L,ASIAN_REFERENCE,RANGE,RANGE,RANGE,TREND,True,False,LONG,TREND,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
08,2022-10-06,L->NY,LONDON_REFERENCE,TREND,TREND,RANGE,TREND,False,True,SHORT,TREND,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
09,2022-10-07,A->L,ASIAN_REFERENCE,RANGE,RANGE,RANGE,RANGE,True,True,SHORT,SWEEP,LONG,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
10,2022-10-07,L->NY,LONDON_REFERENCE,TREND,TREND,RANGE,RANGE,False,False,SHORT,SWEEP,SHORT,RESEARCH_NOT_SELECTED,UNAVAILABLE_NO_M1_BID_ASK,NO
