SINGLE-DAY EXECUTION TRACE — EURUSD M15 — 2022-10-04
Data inspection window: 2022-10-03 22:00 UTC to 2022-10-04 23:45 UTC
12:00 LOCK | London High=0.99039 Low=0.98527 Range=51.2 pips SL distance=12.8 pips Close=0.98906
Session type=BULLISH_TREND | Momentum filter disabled=False | Bias=BULLISH | M15 structure=NEUTRAL | New-entry cutoff=18:00 UTC | Entry mode=workflow: sweep candle body; range boundary; confirmed 45-55% trend retracement then midpoint order

[00] 2022-10-04 12:00 UTC | O=0.98902 H=0.98973 L=0.98860 C=0.98908 | GATES circuit=OPEN cooldown=CLEAR spread=1.00p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[01] 2022-10-04 12:15 UTC | O=0.98902 H=0.99196 L=0.98880 C=0.99165 | GATES circuit=OPEN cooldown=CLEAR spread=0.62p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[02] 2022-10-04 12:30 UTC | O=0.99166 H=0.99167 L=0.99067 C=0.99153 | GATES circuit=OPEN cooldown=CLEAR spread=0.65p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[03] 2022-10-04 12:45 UTC | O=0.99154 H=0.99346 L=0.99129 C=0.99242 | GATES circuit=OPEN cooldown=CLEAR spread=0.68p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[04] 2022-10-04 13:00 UTC | O=0.99247 H=0.99247 L=0.99141 C=0.99173 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[05] 2022-10-04 13:15 UTC | O=0.99173 H=0.99213 L=0.99099 C=0.99131 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[06] 2022-10-04 13:30 UTC | O=0.99131 H=0.99273 L=0.99114 C=0.99202 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[07] 2022-10-04 13:45 UTC | O=0.99204 H=0.99308 L=0.99140 C=0.99290 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[08] 2022-10-04 14:00 UTC | O=0.99290 H=0.99575 L=0.99289 C=0.99479 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[09] 2022-10-04 14:15 UTC | O=0.99480 H=0.99526 L=0.99382 C=0.99386 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[10] 2022-10-04 14:30 UTC | O=0.99387 H=0.99506 L=0.99342 C=0.99394 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[11] 2022-10-04 14:45 UTC | O=0.99393 H=0.99580 L=0.99380 C=0.99567 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[12] 2022-10-04 15:00 UTC | O=0.99567 H=0.99691 L=0.99539 C=0.99684 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[13] 2022-10-04 15:15 UTC | O=0.99684 H=0.99784 L=0.99616 C=0.99762 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[14] 2022-10-04 15:30 UTC | O=0.99763 H=0.99786 L=0.99661 C=0.99666 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[15] 2022-10-04 15:45 UTC | O=0.99666 H=0.99800 L=0.99632 C=0.99763 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[16] 2022-10-04 16:00 UTC | O=0.99763 H=0.99848 L=0.99756 C=0.99828 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[17] 2022-10-04 16:15 UTC | O=0.99828 H=0.99869 L=0.99775 C=0.99838 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[18] 2022-10-04 16:30 UTC | O=0.99838 H=0.99937 L=0.99778 C=0.99797 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[19] 2022-10-04 16:45 UTC | O=0.99797 H=0.99799 L=0.99652 C=0.99701 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[20] 2022-10-04 17:00 UTC | O=0.99702 H=0.99727 L=0.99611 C=0.99667 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[21] 2022-10-04 17:15 UTC | O=0.99667 H=0.99675 L=0.99604 C=0.99672 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[22] 2022-10-04 17:30 UTC | O=0.99673 H=0.99685 L=0.99608 C=0.99636 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[23] 2022-10-04 17:45 UTC | O=0.99636 H=0.99744 L=0.99632 C=0.99744 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[24] 2022-10-04 18:00 UTC | O=0.99744 H=0.99757 L=0.99687 C=0.99689 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[25] 2022-10-04 18:15 UTC | O=0.99689 H=0.99802 L=0.99673 C=0.99764 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[26] 2022-10-04 18:30 UTC | O=0.99764 H=0.99907 L=0.99763 C=0.99841 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[27] 2022-10-04 18:45 UTC | O=0.99841 H=0.99988 L=0.99841 C=0.99979 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[28] 2022-10-04 19:00 UTC | O=0.99980 H=0.99996 L=0.99783 C=0.99844 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[29] 2022-10-04 19:15 UTC | O=0.99843 H=0.99909 L=0.99782 C=0.99791 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[30] 2022-10-04 19:30 UTC | O=0.99793 H=0.99919 L=0.99774 C=0.99911 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[31] 2022-10-04 19:45 UTC | O=0.99911 H=0.99949 L=0.99842 C=0.99904 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[32] 2022-10-04 20:00 UTC | O=0.99902 H=0.99921 L=0.99841 C=0.99878 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

