cowork_sweep_count,first_direction,first_reference_price,first_signal_time,leg,session_type,status,symbol,trading_date
2,SHORT,0.98342,2022-10-03T15:15:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-03
0,,,,POST_LONDON,RANGE,VALID,EURUSD,2022-10-03
2,SHORT,0.98916,2022-10-04T11:00:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-04
0,,,,POST_LONDON,RANGE,VALID,EURUSD,2022-10-04
0,,,,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-05
0,,,,POST_LONDON,TREND,VALID,EURUSD,2022-10-05
1,LONG,0.98951,2022-10-06T09:30:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-06
1,LONG,0.98583,2022-10-06T12:15:00+00:00,POST_LONDON,RANGE,VALID,EURUSD,2022-10-06
1,LONG,0.97675,2022-10-07T14:30:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-07
4,LONG,0.97852,2022-10-07T15:00:00+00:00,POST_LONDON,RANGE,VALID,EURUSD,2022-10-07
2,LONG,0.97046,2022-10-10T10:15:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-10
1,SHORT,0.97121,2022-10-10T14:30:00+00:00,POST_LONDON,RANGE,VALID,EURUSD,2022-10-10
1,SHORT,0.97229,2022-10-11T12:15:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-11
0,,,,POST_LONDON,RANGE,VALID,EURUSD,2022-10-11
0,,,,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-12
2,LONG,0.97039,2022-10-12T12:30:00+00:00,POST_LONDON,RANGE,VALID,EURUSD,2022-10-12
1,LONG,0.96947,2022-10-13T14:00:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-13
0,,,,POST_LONDON,TREND,VALID,EURUSD,2022-10-13
0,,,,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-14
0,,,,POST_LONDON,TREND,VALID,EURUSD,2022-10-14
4,LONG,0.97338,2022-10-17T08:30:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-17
0,,,,POST_LONDON,RANGE,VALID,EURUSD,2022-10-17
1,SHORT,0.9867,2022-10-18T13:30:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-18
1,SHORT,0.9867,2022-10-18T13:30:00+00:00,POST_LONDON,RANGE,VALID,EURUSD,2022-10-18
2,LONG,0.98211,2022-10-19T08:15:00+00:00,POST_ASIAN,RANGE,VALID,EURUSD,2022-10-19
