contract_id,contract_version,symbol,trading_date,leg,reference_session,reference_valid,reason_code,efficiency_ratio,session_type,sweep_evaluated,sweep_qualified,setup_type,entry_engine,direction,entry_status,ticket_status,fill_status,result_status,sweep_candidate_index,sweep_candidate_time,sweep_side,sweep_prior_level,sweep_extreme,sweep_close
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-03,POST_ASIAN,ASIAN,True,CLASSIFIED,0.10760563380282037,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-03T00:45:00+00:00,HIGH,0.98014,0.98037,0.98012
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-03,POST_LONDON,LONDON,True,CLASSIFIED,0.1957671957671946,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-03T07:45:00+00:00,HIGH,0.98188,0.98191,0.98123
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-04,POST_ASIAN,ASIAN,True,CLASSIFIED,0.25224685440383604,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-04T00:30:00+00:00,LOW,0.98215,0.98201,0.98217
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-04,POST_LONDON,LONDON,True,CLASSIFIED,0.15151515151515305,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-04T07:15:00+00:00,HIGH,0.98875,0.98959,0.98828
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-05,POST_ASIAN,ASIAN,True,CLASSIFIED,0.2063645130183188,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-05T00:45:00+00:00,LOW,0.99744,0.997,0.99755
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-05,POST_LONDON,LONDON,True,CLASSIFIED,0.5734597156398049,TREND,False,,TREND,ENTRY_1,SHORT,ENTRY_1_CONTRACT_INCOMPLETE,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,,,,,,
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-06,POST_ASIAN,ASIAN,True,CLASSIFIED,0.010376134889756826,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-06T00:30:00+00:00,HIGH,0.99257,0.99262,0.99231
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-06,POST_LONDON,LONDON,True,CLASSIFIED,0.21212121212121415,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-06T07:45:00+00:00,HIGH,0.99185,0.99207,0.99105
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-07,POST_ASIAN,ASIAN,True,CLASSIFIED,0.07909162098669238,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-07T00:15:00+00:00,HIGH,0.97953,0.97976,0.97939
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-07,POST_LONDON,LONDON,True,CLASSIFIED,0.05152671755725025,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,6,2022-10-07T08:30:00+00:00,HIGH,0.98159,0.98168,0.98093
